source_id,JkcStd_mag_U,JkcStd_mag_B,JkcStd_mag_V,JkcStd_mag_R,JkcStd_mag_I,JkcStd_flux_U,JkcStd_flux_B,JkcStd_flux_V,JkcStd_flux_R,JkcStd_flux_I,JkcStd_flux_error_U,JkcStd_flux_error_B,JkcStd_flux_error_V,JkcStd_flux_error_R,JkcStd_flux_error_I
1391924687894823296,11.345437130159613,11.282460819956544,10.649048628704971,10.331577284109127,9.928637192716,1.3251503265867515e-15,1.9889124760797965e-15,2.0227422622965518e-15,1.6468312001423268e-15,1.259114203136e-15,2.5221580184575245e-17,7.268572265944477e-18,9.435684592822582e-18,9.897856873286482e-18,3.2032528321627195e-18
1296666402078585984,11.152717090559634,11.125783163219648,10.580872411465169,10.253591825093554,9.943362667124287,1.5825344167677518e-15,2.297665137361523e-15,2.1538280836945493e-15,1.7694702691308544e-15,1.2421525439753373e-15,1.014720939141711e-17,2.3510028076414892e-18,1.5499400588182139e-18,1.2057865954107994e-18,3.290557755827762e-19
1391687949297517824,11.929599964637003,11.474701683837193,10.686169418908019,10.255734083446722,9.877517921579884,7.737488457162122e-16,1.6661700609686703e-15,1.9547545488509066e-15,1.765982382071402e-15,1.3198143054628255e-15,7.78043831581529e-18,1.6843690217154134e-18,1.3937213585139377e-18,1.1090272514466076e-18,2.8253673482602784e-19
1295879048673833984,11.358006612411101,11.281667824513125,10.685672447894252,10.340509177219044,10.016805171123348,1.3098976259727405e-15,1.990365660230818e-15,1.9556494980204133e-15,1.6333389889812623e-15,1.160908340961273e-15,7.919053754602386e-18,1.7447161851165755e-18,1.2732701941809969e-18,9.632650609271877e-19,2.526152232373962e-19
1391986810302295296,12.345704247760956,11.65655447635945,10.697286164174262,10.173000749688509,9.688208009894783,5.274220724119071e-16,1.4092180897204228e-15,1.934842125612132e-15,1.9058104331880824e-15,1.5712192671865178e-15,6.6253171100066716e-18,1.4997727935118952e-18,1.6010701421140677e-18,1.3008127643835788e-18,3.6843066723065608e-19
1295905093355580928,11.218516235551565,11.256473838970603,10.765782677856333,10.470143762029696,10.162110921947924,1.4894759862137456e-15,2.037091161230318e-15,1.816548212570797e-15,1.4495142699569493e-15,1.0154899536037082e-15,9.872585805645072e-18,2.3255013935287214e-18,1.5707275411120807e-18,2.1733677464990467e-18,3.0840602669650787e-19
1391732479518989952,11.219744660001167,11.111108637152125,10.502412372057254,10.14779048040197,9.813837702292833,1.4877917151950328e-15,2.328930589219444e-15,2.3152348507935778e-15,1.9505801837625054e-15,1.3995387226137258e-15,9.256798369593906e-18,2.1018929537226532e-18,1.5627305784677892e-18,1.1422961826575869e-18,3.5696941476693365e-19
1392001310111465472,11.570651774853404,11.540422782922537,10.923191962061335,10.553108387147208,10.188541293010676,1.0769097031705803e-15,1.5683062991984287e-15,1.5713872143690974e-15,1.3428782664860847e-15,9.910680664204471e-16,7.631143487715914e-18,1.2551992065579388e-18,9.633480066142957e-19,7.427127133979591e-19,2.0487339183203054e-19
1295821697974291712,12.924225275286856,11.995542771885805,10.900227771486218,10.318807203075846,9.797403171331705,3.0956360095414623e-16,1.0312949502968485e-15,1.6049772891576873e-15,1.6663150573911793e-15,1.420884352028249e-15,5.045687416714093e-18,1.3940175964727683e-18,1.3381665590655808e-18,1.0671088201204747e-18,2.95415106599484e-19
1391705232246003328,12.349950736271548,11.474810140516443,10.406736505356474,9.842701362287404,9.326977509848273,5.253632688382852e-16,1.6660036317331294e-15,2.5285142052836036e-15,2.5834463977724884e-15,2.1914370307895296e-15,7.568497142685632e-18,2.2954410303345716e-18,1.87670183545546e-18,1.7786445524909377e-18,4.313638557677002e-19
1391907267507456384,11.55540418137083,11.597049143844526,11.006323453773444,10.64151981650851,10.269125463650024,1.0921400348847074e-15,1.4886079788759565e-15,1.455561696509686e-15,1.2378615504132926e-15,9.201736962872777e-16,7.302615095177623e-18,1.3047895088812604e-18,9.82069088260291e-19,8.145064700799146e-19,2.0286432460039837e-19
1295823626415827968,13.50883470384378,12.243648847561044,11.014051381790804,10.346244320749808,9.739928629301208,1.806783510987843e-16,8.20616908083355e-16,1.4452382503338598e-15,1.6247340107379616e-15,1.4981267140936498e-15,3.6456118414083485e-18,1.1045906662411846e-18,1.0648221600502137e-18,8.785677865444539e-19,2.659307351203586e-19
1391981725060535552,12.670647084802953,12.05903852108911,11.162606435374567,10.676668654230522,10.232453935064076,3.910039692048952e-16,9.727127120626031e-16,1.260426210854895e-15,1.1984296308651892e-15,9.517840573612361e-16,4.703673339738003e-18,9.640476194514834e-19,8.200264563386116e-19,6.499830651070371e-19,1.9786391396372972e-19
1392007529224116736,12.608607705186264,11.468025873383962,10.235493591919816,9.553533983296976,8.920220809313289,4.1399673678259325e-16,1.676446315434091e-15,2.9604829431400567e-15,3.371835716712088e-15,3.1873640963331712e-15,9.300460973875424e-18,2.2830395940555796e-18,2.642333309209654e-18,2.0154232840997956e-18,7.180178400079004e-19
1391941352368444544,12.049208780612593,11.970950900316463,11.345697499004391,10.997395416593537,10.645846620384678,6.930371058355263e-16,1.0549202763555978e-15,1.0648317706349268e-15,8.919116432627049e-16,6.504012269262085e-16,4.140304542847866e-18,1.0811876122777861e-18,9.027663686496412e-19,1.2552958559177754e-18,1.608290608002897e-19
1391840987572372608,12.883138385446959,12.237182660100412,11.288490312213892,10.767943503893978,10.28089763106652,3.215027157778526e-16,8.255187388275226e-16,1.122441912589431e-15,1.101799569739834e-15,9.102505448731561e-16,4.3210718456680875e-18,9.418612672925862e-19,7.828689244545538e-19,6.19876129767465e-19,1.779507780644448e-19
1391713650381904128,12.053364683704954,12.037789289959651,11.33090990393453,10.883434118494893,10.432501876636497,6.903894187056119e-16,9.919374429623302e-16,1.0794338634941018e-15,9.906183137416515e-16,7.916245412236906e-16,6.938699751958397e-18,1.405196322676562e-18,1.3611044775421378e-18,1.0870925227143956e-18,4.041735801257938e-19
